"","Date","Year","Month","Country","Reef_name","Site_name","Reef_zone","N","W","Dive","Depth_(m)","Methodology","Transect","Microhabitat_No","Microhabitat_label","Fish_tag_ID","Family","Genus","Fish_species","Humid_weight_(gr)","SL(mm)","TL(mm)","DNA_method","Group_humid_weight","Box_storage","Note","Photo quality","STRIwebsite","Park_region"
"1","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_001","Labrisomidae","Malacoctenus","Malacoctenus triangulatus","0.42099999999999999",NA,34.3,NA,NA,NA,NA,NA,NA,"North"
"2","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_002","Labrisomidae","Malacoctenus","Malacoctenus triangulatus","0.58699999999999997",NA,36.56,NA,NA,NA,NA,NA,NA,"North"
"3","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_003","Gobiidae","Tigrigobius","Tigrigobius redimiculus","9.0999999999999998E-2",NA,20.23,NA,NA,NA,NA,NA,NA,"North"
"4","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_004","Gobiidae","Coryphopterus","Coryphopterus personatus","0.157",NA,24.94,NA,NA,NA,NA,NA,NA,"North"
"5","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_005","Gobiidae","Coryphopterus","Coryphopterus personatus","8.0000000000000002E-3",NA,9.01,NA,NA,NA,NA,NA,NA,"North"
"6","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_006","Gobiidae","Tigrigobius","Tigrigobius redimiculus","4.4999999999999998E-2",NA,16.26,NA,NA,NA,NA,NA,NA,"North"
"7","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_007","Gobiidae","Tigrigobius","Tigrigobius redimiculus","5.0999999999999997E-2",NA,17.68,NA,NA,NA,NA,NA,NA,"North"
"8","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_008","Gobiidae","Tigrigobius","Tigrigobius redimiculus","2.5999999999999999E-2",NA,14.59,NA,NA,NA,NA,NA,NA,"North"
"9","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_009","Gobiidae","Tigrigobius","Tigrigobius redimiculus","6.8000000000000005E-2",NA,18.74,NA,NA,NA,NA,NA,NA,"North"
"10","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_010","Gobiidae","Tigrigobius","Tigrigobius redimiculus","1.9E-2",NA,11.88,NA,NA,NA,NA,NA,NA,"North"
"11","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_011","Gobiidae","Coryphopterus","Coryphopterus dicrus","0.30399999999999999",NA,30.17,NA,NA,NA,NA,NA,NA,"North"
"12","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_012","Gobiidae","Coryphopterus","Coryphopterus dicrus","0.255",NA,27.81,NA,NA,NA,NA,NA,NA,"North"
"13","August 21th, 2023","2023",8,"Mexico","Blanquilla","BLNQ001","Back",19.22267,"-96.096869999999996",NA,"8","CryptoStation","CS","CS001",NA,"VER23.8F_013","Gobiidae","Coryphopterus","Coryphopterus dicrus","0.20399999999999999",NA,25.93,NA,NA,NA,NA,NA,NA,"North"
